,GROUP_CODE,GROUP_NAV_DATE,GROUP_REH_VALUE
0,ZH032095,2018-11-29,0.9932
1,ZH032095,2018-11-30,1.0029
2,ZH032095,2018-12-03,1.03
3,ZH032095,2018-12-04,1.032
4,ZH032095,2018-12-05,1.0313
5,ZH032095,2018-12-06,1.0115
6,ZH032095,2018-12-07,1.0079
7,ZH032095,2018-12-10,0.9962
8,ZH032095,2018-12-11,1.0014
9,ZH032095,2018-12-12,1.0057
10,ZH032095,2018-12-13,1.0216
11,ZH032095,2018-12-14,1.0072
12,ZH032095,2018-12-17,1.0018
13,ZH032095,2018-12-18,0.9937
14,ZH032095,2018-12-19,0.981
15,ZH032095,2018-12-20,0.9766
16,ZH032095,2018-12-21,0.9664
17,ZH032095,2018-12-24,0.9735
18,ZH032095,2018-12-25,0.9704
19,ZH032095,2018-12-26,0.9653
20,ZH032095,2018-12-27,0.9613
21,ZH032095,2018-12-28,0.9661
22,ZH032095,2019-01-02,0.9521
23,ZH032095,2019-01-03,0.9433
24,ZH032095,2019-01-04,0.96
25,ZH032095,2019-01-07,0.9648
26,ZH032095,2019-01-08,0.963
27,ZH032095,2019-01-09,0.9745
28,ZH032095,2019-01-10,0.9735
29,ZH032095,2019-01-11,0.9785
30,ZH032095,2019-01-14,0.9703
31,ZH032095,2019-01-15,0.9928
32,ZH032095,2019-01-16,0.995
33,ZH032095,2019-01-17,0.9904
34,ZH032095,2019-01-18,1.0071
35,ZH032095,2019-01-21,1.0153
36,ZH032095,2019-01-22,1.0034
37,ZH032095,2019-01-23,1.006
38,ZH032095,2019-01-24,1.0113
39,ZH032095,2019-01-25,1.0191
40,ZH032095,2019-01-28,1.022
41,ZH032095,2019-01-29,1.0258
42,ZH032095,2019-01-30,1.017
43,ZH032095,2019-01-31,1.0228
44,ZH032095,2019-02-01,1.0374
45,ZH032095,2019-02-11,1.0597
46,ZH032095,2019-02-12,1.0661
47,ZH032095,2019-02-13,1.0762
48,ZH032095,2019-02-14,1.0826
49,ZH032095,2019-02-15,1.0654
50,ZH032095,2019-02-18,1.0949
51,ZH032095,2019-02-19,1.0906
52,ZH032095,2019-02-20,1.0911
53,ZH032095,2019-02-21,1.087
54,ZH032095,2019-02-22,1.0975
55,ZH032095,2019-02-25,1.1382
56,ZH032095,2019-02-26,1.123
57,ZH032095,2019-02-27,1.1216
58,ZH032095,2019-02-28,1.1285
59,ZH032095,2019-03-01,1.1481
60,ZH032095,2019-03-04,1.1629
61,ZH032095,2019-03-05,1.1691
62,ZH032095,2019-03-06,1.1687
63,ZH032095,2019-03-07,1.1514
64,ZH032095,2019-03-08,1.1238
65,ZH032095,2019-03-11,1.1477
66,ZH032095,2019-03-12,1.155
67,ZH032095,2019-03-13,1.1464
68,ZH032095,2019-03-14,1.1433
69,ZH032095,2019-03-15,1.1662
70,ZH032095,2019-03-18,1.2093
71,ZH032095,2019-03-19,1.2037
72,ZH032095,2019-03-20,1.2025
73,ZH032095,2019-03-21,1.2001
74,ZH032095,2019-03-22,1.2038
75,ZH032095,2019-03-25,1.1788
76,ZH032095,2019-03-26,1.1735
77,ZH032095,2019-03-27,1.1936
78,ZH032095,2019-03-28,1.1963
79,ZH032095,2019-03-29,1.2398
80,ZH032095,2019-04-01,1.2689
81,ZH032095,2019-04-02,1.2631
82,ZH032095,2019-04-03,1.2687
83,ZH032095,2019-04-04,1.2858
84,ZH032095,2019-04-08,1.283
85,ZH032095,2019-04-09,1.2936
86,ZH032095,2019-04-10,1.3058
87,ZH032095,2019-04-11,1.2734
88,ZH032095,2019-04-12,1.2675
89,ZH032095,2019-04-15,1.2623
90,ZH032095,2019-04-16,1.2845
91,ZH032095,2019-04-17,1.2878
92,ZH032095,2019-04-18,1.2892
93,ZH032095,2019-04-19,1.303
94,ZH032095,2019-04-22,1.2779
95,ZH032095,2019-04-23,1.2806
96,ZH032095,2019-04-24,1.2819
97,ZH032095,2019-04-25,1.2608
98,ZH032095,2019-04-26,1.2518
99,ZH032095,2019-04-29,1.2618
100,ZH032095,2019-04-30,1.2666
101,ZH032095,2019-05-06,1.1952
102,ZH032095,2019-05-07,1.2125
103,ZH032095,2019-05-08,1.1994
104,ZH032095,2019-05-09,1.1733
105,ZH032095,2019-05-10,1.2162
106,ZH032095,2019-05-13,1.2093
107,ZH032095,2019-05-14,1.2006
108,ZH032095,2019-05-15,1.2397
109,ZH032095,2019-05-16,1.2493
110,ZH032095,2019-05-17,1.2202
111,ZH032095,2019-05-20,1.203
112,ZH032095,2019-05-21,1.2174
113,ZH032095,2019-05-22,1.2133
114,ZH032095,2019-05-23,1.188
115,ZH032095,2019-05-24,1.1929
116,ZH032095,2019-05-27,1.2046
117,ZH032095,2019-05-28,1.218
118,ZH032095,2019-05-29,1.2165
119,ZH032095,2019-05-30,1.2092
120,ZH032095,2019-05-31,1.2061
121,ZH032095,2019-06-03,1.2021
122,ZH032095,2019-06-04,1.185
123,ZH032095,2019-06-05,1.183
124,ZH032095,2019-06-06,1.1714
125,ZH032095,2019-06-10,1.1888
126,ZH032095,2019-06-11,1.2276
127,ZH032095,2019-06-12,1.2189
128,ZH032095,2019-06-13,1.2151
129,ZH032095,2019-06-14,1.2073
130,ZH032095,2019-06-17,1.2042
131,ZH032095,2019-06-18,1.2095
132,ZH032095,2019-06-19,1.2261
133,ZH032095,2019-06-20,1.2649
134,ZH032095,2019-06-21,1.2631
135,ZH032095,2019-06-24,1.2724
136,ZH032095,2019-06-25,1.2631
137,ZH032095,2019-06-26,1.2634
138,ZH032095,2019-06-27,1.285
139,ZH032095,2019-06-28,1.2866
140,ZH032095,2019-07-01,1.3256
141,ZH032095,2019-07-02,1.3301
142,ZH032095,2019-07-03,1.3106
143,ZH032095,2019-07-04,1.2921
144,ZH032095,2019-07-05,1.3098
145,ZH032095,2019-07-08,1.2866
146,ZH032095,2019-07-09,1.2857
147,ZH032095,2019-07-10,1.2876
148,ZH032095,2019-07-11,1.2868
149,ZH032095,2019-07-12,1.2988
150,ZH032095,2019-07-15,1.296
151,ZH032095,2019-07-16,1.2854
152,ZH032095,2019-07-17,1.2842
153,ZH032095,2019-07-18,1.2734
154,ZH032095,2019-07-19,1.2879
155,ZH032095,2019-07-22,1.2873
156,ZH032095,2019-07-23,1.2828
157,ZH032095,2019-07-24,1.2885
158,ZH032095,2019-07-25,1.2988
159,ZH032095,2019-07-26,1.3009
160,ZH032095,2019-07-29,1.3039
161,ZH032095,2019-07-30,1.3064
162,ZH032095,2019-07-31,1.2929
163,ZH032095,2019-08-01,1.2809
164,ZH032095,2019-08-02,1.2733
165,ZH032095,2019-08-05,1.2516
166,ZH032095,2019-08-06,1.2512
167,ZH032095,2019-08-07,1.2479
168,ZH032095,2019-08-08,1.2673
169,ZH032095,2019-08-09,1.2551
170,ZH032095,2019-08-12,1.2768
171,ZH032095,2019-08-13,1.2692
172,ZH032095,2019-08-14,1.2796
173,ZH032095,2019-08-15,1.2813
174,ZH032095,2019-08-16,1.2912
175,ZH032095,2019-08-19,1.307
