ts_code,start_date,hy_code
000001,1991/4/3,440101
000001,2014/1/1,480101
000001,2021/7/30,480301
000002,1991/1/29,430101
000003,1991/4/14,510101
000004,1989/12/23,420301
000004,2001/9/1,370301
000004,2007/7/2,430101
000004,2009/1/1,370301
000004,2019/7/24,370102
000004,2021/6/11,710202
000004,2021/7/30,710402
000005,1990/12/10,430101
000005,2017/6/29,410401
000005,2021/7/30,760104
000006,1992/4/27,430101
000006,2015/10/1,210202
000006,2017/6/29,430101
000007,1992/4/13,330202
000007,2006/9/1,430101
000007,2009/6/1,460201
000007,2012/10/8,510101
000007,2013/7/1,240106
000007,2014/1/1,240504
000007,2014/7/1,460401
000007,2017/6/29,510101
000007,2019/7/24,450501
000007,2021/7/30,450304
000008,1992/5/7,510101
000008,2013/1/1,460201
000008,2015/7/1,640501
000009,1991/6/25,430101
000009,2013/1/1,510101
000009,2021/7/30,630702
000010,1995/10/27,450201
000010,2007/7/2,510101
000010,2015/7/1,620501
000010,2021/7/30,620307
000011,1992/3/30,430101
000012,1992/2/28,250101
000012,2014/1/1,610201
000013,1991/12/11,510101
000013,2003/5/1,220501
000014,1991/12/19,320201
000014,2001/5/1,430101
000015,1992/6/25,510101
000016,1992/3/27,330201
000017,1992/3/31,310301
000017,2011/10/10,310307
000017,2014/1/1,280401
000017,2022/7/29,350301
000018,1992/6/16,350104
000018,2013/1/1,510101
000018,2015/7/1,430101
000018,2016/5/25,620201
000018,2018/7/13,620403
000019,1992/10/12,340304
000019,2019/7/24,450201
000019,2021/7/30,110502
000020,1992/4/28,270201
000020,2011/10/10,270501
000020,2021/7/30,270301
000021,1994/2/2,320201
000021,2014/1/1,710101
000021,2019/7/24,270501
000021,2021/7/30,270504
000023,1993/4/29,250201
000023,2011/10/10,250203
000023,2013/7/1,250104
000023,2014/1/1,610303
000023,2021/7/30,610102
000024,1993/3/15,420101
000024,2002/5/1,430101
000025,1993/6/21,310401
000025,2014/1/1,280301
000025,2021/7/30,280302
000026,1993/6/3,260301
000026,2007/7/2,360303
000026,2011/10/10,360304
000026,2021/7/30,350301
000027,1993/9/3,410101
000028,1993/5/5,340304
000028,2001/9/1,370401
000028,2021/7/30,370402
000029,1993/9/15,430101
000030,1993/6/28,360301
000030,2011/10/10,510101
000030,2013/7/1,310201
000030,2014/1/1,280201
000030,2021/7/30,280203
000031,1993/10/8,430101
000031,2021/7/30,430102
000032,1993/10/28,320101
000032,2007/7/2,320102
000032,2014/1/1,730201
000032,2021/7/30,730206
000032,2022/7/29,620404
000033,1994/1/3,460201
000034,1993/10/18,110401
000034,2001/5/1,320102
000034,2007/7/2,110401
000034,2009/6/1,320102
000034,2014/1/1,730201
000034,2015/7/1,110401
000034,2015/11/3,730201
000034,2017/5/26,110401
000034,2017/6/29,710202
000034,2021/7/30,710301
000035,1994/4/8,320102
000035,2014/1/1,730201
000035,2014/7/1,410401
000035,2021/7/30,760103
000036,1994/6/17,350201
000036,2005/7/1,220101
000036,2010/1/8,430101
000037,1994/7/1,410103
000037,2021/7/30,410104
000037,2022/7/29,410101
000038,1994/8/8,270201
000038,2010/1/8,430101
000038,2018/6/19,720201
000038,2021/7/30,510101
000039,1994/4/8,230201
000039,2008/6/2,260501
000039,2014/1/1,640401
000039,2021/7/30,640108
000040,1994/8/8,510101
000040,2010/1/8,430101
000040,2017/11/16,410401
000040,2019/7/24,410105
000040,2021/7/30,410106
000042,1994/9/21,430101
000043,1994/9/28,510101
000043,2007/7/2,430101
000045,1994/8/15,350102
000045,2011/10/10,350106
000045,2014/1/1,270301
000046,1994/9/12,430101
000046,2020/12/1,490301
000046,2021/7/30,430101
000047,1994/10/21,430101
000048,1994/11/1,110601
000048,2011/1/10,110401
000048,2021/7/30,430101
000049,1995/3/20,430101
000049,2007/7/2,220701
000049,2011/10/10,270401
000049,2013/1/1,270501
000049,2021/7/30,630701
000050,1995/3/15,270201
000050,2010/1/1,270301
000055,1996/4/15,230201
000055,2007/7/2,510101
000055,2011/10/10,250104
000055,2012/7/2,250205
000055,2014/1/1,620404
000055,2021/7/30,610303
000056,1996/7/8,450101
000056,2012/7/2,450103
000056,2014/1/1,450501
000056,2014/7/1,430101
000056,2021/7/30,430301
000058,1996/12/26,270301
000058,2011/10/10,450103
000058,2014/1/1,450501
000058,2017/6/29,450502
000058,2021/7/30,450304
000059,1997/1/30,220301
000059,2010/1/1,220101
000059,2021/7/30,750301
000060,1997/1/23,240101
000060,2007/6/30,240104
000060,2014/1/1,240303
000061,1997/1/10,110601
000061,2013/7/1,450201
000061,2014/1/1,450502
000061,2021/7/30,450304
000062,1997/1/30,330202
000062,2009/6/1,270401
000062,2011/10/10,450103
000062,2014/1/1,450502
000062,2017/6/29,270401
000063,1997/11/18,320101
000063,2008/6/2,320103
000063,2014/1/1,730202
000063,2021/7/30,730204
000065,1998/6/5,250202
000065,2007/7/2,250201
000065,2011/10/10,250205
000065,2014/1/1,620403
000066,1997/6/26,320201
000066,2014/1/1,710101
000066,2021/7/30,710103
000068,1997/6/11,270301
000068,2013/1/1,510101
000068,2017/6/29,410401
000068,2021/7/30,760104
000069,1997/9/10,460101
000069,2008/1/2,430101
000069,2021/7/30,430102
000070,2000/4/24,270301
000070,2011/10/10,320103
000070,2014/1/1,730202
